"Ultiboard Information Export File"

"Design Name  : WiPy(V1_3) - Parts Centroids"
"Report Date  : 13 May 2015"
"Report Time  : 20:06"
"--------------------------------------------------------------------------------"

"REFDES","VALUE","SHAPE","X_CENTRE[nm]","Y_CENTRE[nm]","ROT","SIDE","TYPE","DEVICE",,,,

"ANT1","FR05-S1-N-0-001","FR05-S1-N-0-001","11266200","-38891875","180","TOP","SMD","FR05-S1-N-0-001"
"ANT2","HJBRIGHT","HJBRIGHT","18071875","-33381875","270","TOP","SMD","HJBRIGHT"
"C1","33pF/50V","CAP0402","10160000","-31988125","90","TOP","SMD","33pF/50V"
"C2","10pF/50V","CAP0402","8930001","-11545001","0","TOP","SMD","10pF/50V"
"C3","10pF/50V","CAP0402","12144375","-29765625","180","TOP","SMD","10pF/50V"
"C4","10pF/50V","CAP0402","10160000","-33416875","90","TOP","SMD","10pF/50V"
"C5","10pF/50V","CAP0402","13930001","-11545001","0","TOP","SMD","10pF/50V"
"C6","10pF/50V","CAP0402","14843125","-33416875","270","TOP","SMD","10pF/50V"
"C7","33pF/50V","CAP0402","14843125","-31988125","270","TOP","SMD","33pF/50V"
"C8","0.1uF/10V","CAP0402","2698750","-3333750","0","TOP","SMD","0.1uF/10V"
"C9","0.1uF/10V","CAP0402","15001875","-28336875","270","TOP","SMD","0.1uF/10V"
"C10","6.2pF/50V","CAP0402","3492500","-29289375","180","TOP","SMD","6.2pF/50V"
"C11","6.2pF/50V","CAP0402","7461250","-29368750","0","TOP","SMD","6.2pF/50V"
"C12","4.7uF/6V3","CAP0402","17383125","-25400000","270","TOP","SMD","4.7uF/6V3"
"C13","4.7uF/6V3","CAP0402","16351250","-22066250","180","TOP","SMD","4.7uF/6V3"
"C14","4.7uF/6V3","CAP0402","16192500","-15240000","0","TOP","SMD","4.7uF/6V3"
"C15","0.1uF/10V","CAP0402","2540000","-22066250","90","TOP","SMD","0.1uF/10V"
"C16","0.1uF/10V","CAP0402","9921875","-13811250","0","TOP","SMD","0.1uF/10V"
"C17","0.1uF/10V","CAP0402","15001875","-25400000","270","TOP","SMD","0.1uF/10V"
"C18","22uF/4V","CAP0603","18930001","-17045001","270","TOP","SMD","22uF/4V"
"C19","22uF/4V","CAP0603","18930001","-18795001","270","TOP","SMD","22uF/4V"
"C20","10uF/6.3V","CAP0603","19685000","-25479375","90","TOP","SMD","10uF/6.3V"
"C21","0.1uF/10V","CAP0402","9921875","-29051250","180","TOP","SMD","0.1uF/10V"
"C22","0.1uF/10V","CAP0402","17383125","-27066875","270","TOP","SMD","0.1uF/10V"
"C23","0.1uF/10V","CAP0402","14922500","-15240000","0","TOP","SMD","0.1uF/10V"
"C24","10uF/6.3V","CAP0603","19430001","-13045001","90","TOP","SMD","10uF/6.3V"
"C25","0.1uF/10V","CAP0402","2540000","-20875625","90","TOP","SMD","0.1uF/10V"
"C26","0.1uF/10V","CAP0402","8651875","-13811250","0","TOP","SMD","0.1uF/10V"
"C27","0.1uF/10V","CAP0402","13176250","-13811250","0","TOP","SMD","0.1uF/10V"
"C28","0.1uF/10V","CAP0402","8731250","-29051250","180","TOP","SMD","0.1uF/10V"
"C29","0.1uF/10V","CAP0402","15795625","-17224375","270","TOP","SMD","0.1uF/10V"
"C30","10uF/10V","CAP0805","16748125","-2698750","0","TOP","SMD","10uF/10V"
"C31","18pF/50V","CAP0402","19685000","-9207500","270","TOP","SMD","18pF/50V"
"C32","10uF/10V","CAP0805","19208750","-11112500","270","TOP","SMD","10uF/10V"
"D1","LED_BLUE","LED0603_everlight","15716250","1111250","90","TOP","SMD","LED_BLUE"
"FL1","DEA202450BT-1294C1-H","DEA202450BT-1294C1-H","12144375","-27940000","180","TOP","SMD","DEA202450BT-1294C1-H"
"H1","mountpoint_corner_1.5","mp_corner_1.5","1508125","-952500","0","TOP","SMD","mountpoint_corner_1.5"
"H2","mountpoint_corner_1.5","mp_corner_1.5","21351875","-952500","270","TOP","SMD","mountpoint_corner_1.5"
"H3","mountpoint_corner_1.5","mp_corner_1.5","21351875","-31173750","180","TOP","SMD","mountpoint_corner_1.5"
"H4","mountpoint_corner_1.5","mp_corner_1.5","1508125","-31173750","90","TOP","SMD","mountpoint_corner_1.5"
"H5","mountpoint_1.5","mp_1.5","10715625","-31173750","270","TOP","SMD","mountpoint_1.5"
"H6","mountpoint_1.5","mp_1.5","11430000","-952500","270","TOP","SMD","mountpoint_1.5"
"H7","mountpoint_1.5","mp_1.5","21350625","-18812250","0","TOP","SMD","mountpoint_1.5"
"H8","mountpoint_1.5","mp_1.5","1508125","-17780000","0","TOP","SMD","mountpoint_1.5"
"H9","mountpoint_1.5","mp_1.5","5080000","-31173750","270","TOP","SMD","mountpoint_1.5"
"H10","mountpoint_1.5","mp_1.5","7778750","-31173750","270","TOP","SMD","mountpoint_1.5"
"H11","mountpoint_1.5","mp_1.5","14605000","-31173750","270","TOP","SMD","mountpoint_1.5"
"H12","mountpoint_1.5","mp_1.5","17224375","-31173750","270","TOP","SMD","mountpoint_1.5"
"H13","mountpoint_1.5","mp_1.5","21351875","-29051250","0","TOP","SMD","mountpoint_1.5"
"H14","mountpoint_1.5","mp_1.5","1508125","-7699375","0","TOP","SMD","mountpoint_1.5"
"H15","mountpoint_1.5","mp_1.5","16748125","-952500","270","TOP","SMD","mountpoint_1.5"
"H16","mountpoint_1.5","mp_1.5","8334375","-952500","270","TOP","SMD","mountpoint_1.5"
"H17","mountpoint_1.5","mp_1.5","5318125","-952500","270","TOP","SMD","mountpoint_1.5"
"H18","mountpoint_1.5","mp_1.5","21351875","-11271250","0","TOP","SMD","mountpoint_1.5"
"H19","mountpoint_1.5","mp_1.5","1508125","-13970000","0","TOP","SMD","mountpoint_1.5"
"H20","mountpoint_1.5","mp_1.5","1508125","-29051250","0","TOP","SMD","mountpoint_1.5"
"H21","mountpoint_1.5","mp_1.5","1508125","-25796875","0","TOP","SMD","mountpoint_1.5"
"H22","mountpoint_1.5","mp_1.5","21350625","-25712875","0","TOP","SMD","mountpoint_1.5"
"J1","TC2050-IDC-NL","TC2050-IDC-NL","11430000","-2540000","90","BOTTOM","MIXED","TC2050-IDC-NL"
"J2","HEADER_RIGHT","SIL14_Longlegs","22860000","-16510000","90","BOTTOM","THD","HEADER_RIGHT"
"J3","HEADER_LEFT","SIL14_Longlegs","0","-16510000","90","BOTTOM","THD","HEADER_LEFT"
"L1","LQM2HPN2R2MG0L","L1008","19050000","-23415625","270","TOP","SMD","LQM2HPN2R2MG0L"
"L2","LQM2HPN1R0MJ0L","L1008","19050000","-21113750","270","TOP","SMD","LQM2HPN1R0MJ0L"
"L3","LQM2HPN2R2MG0L","L1008","18970625","-15081250","270","TOP","SMD","LQM2HPN2R2MG0L"
"R1","270R","RES0402","14684375","-2222500","0","TOP","SMD","270R"
"R2","100k","RES0402","8651875","-8334375","90","TOP","SMD","100k"
"R3","10k","RES0402","12541250","-8334375","270","TOP","SMD","10k"
"R4","100k","RES0402","14605000","-8334375","90","TOP","SMD","100k"
"R6","100k","RES0402","2857500","-12541250","180","TOP","SMD","100k"
"R9","100k","RES0402","15001875","-27066875","90","TOP","SMD","100k"
"R10","100k","RES0402","19685000","-26908125","270","TOP","SMD","100k"
"R11","2K7","RES0402","2381250","-29289375","0","TOP","SMD","2K7"
"R12","100k","RES0402","5397500","-3333750","180","TOP","SMD","100k"
"R13","100k","RES0402","6667500","-3333750","180","TOP","SMD","100k"
"R14","100k","RES0402","17383125","-28336875","90","TOP","SMD","100k"
"R15","51K","RES0402","19685000","-8096250","90","TOP","SMD","51K"
"R16","30K1","RES0402","17623250","-8094250","270","TOP","SMD","30K1"
"S1","TS-1185","TS-1185","6826250","1031875","180","TOP","SMD","TS-1185"
"T1","BSS138PW","SOT323(SC-70)","14684375","-5794375","0","TOP","SMD","BSS138PW"
"T2","FDMA291P","MicroFET2x2","19526250","-2460625","270","TOP","SMD","FDMA291P"
"U1","CC3200R1M2","S-PVQFN-N64","8890000","-20796250","0","TOP","SMD","CC3200R1M2"
"U2","SKY13350-385LF","MLPD-6","12144375","-33178750","0","TOP","SMD","SKY13350-385LF"
"U3","W25Q16DVZPIG","VDFPN8_6_uc100d75","4683125","-7936250","0","TOP","SMD","W25Q16DVZPIG"
"U4","TPS79601DRB","S-PVSON-N8","18819898","-5866225","270","TOP","SMD","TPS79601DRB"
"X1","32.768kHz","ABS07","11430001","-11545001","0","TOP","SMD","32.768kHz"
"X2","CX2520DB40000D0FLJCC","FA-20H","5476875","-29289375","270","TOP","SMD","CX2520DB40000D0FLJCC"
